功能,設置路段,設置地點,緯度,經度,行政區,拍攝方向,速限-速度限制
測速,辛亥路6段,懷恩隧道出口處（往木柵）,24.99169061,121.551479,文山區,北向南,50
測速,水源快速道路,下(離開水快)景福匝道口(上層)(水南),24.9993046,121.535252,中正區,北向南,60
測速,羅斯福路6段,226號前,24.99258379,121.5407211,文山區,北向南,50
測速,辛亥路4段,辛亥隧道出口,25.0097526,121.5573735,文山區,北向南,50
測速,羅斯福路5段,240號前(近興隆路口),25.00150067,121.5391158,文山區,北向南,50
測速,羅斯福路6段,469巷前(近育英街口),24.98975499,121.5396629,文山區,南向北,50
測速,陽金公路53號燈桿後方,竹子湖路2-2號對面,25.16491378,121.5437191,北投區,往臺北市區,40
測速,承德路6段,,25.10519124,121.5119366,北投區,北向南,60
測速,洲美快速道路(南向避車彎處),,25.10799039,121.4987819,北投區,北向南,80
測速,承德路6段,,25.10394721,121.5120888,北投區,南往北,60
測速,洲美快速道路(北向避車彎處),,25.10597159,121.4989647,北投區,南向北,80
測速,大業路,412號前,25.13033974,121.4967385,北投區,南向北,60
測速,大度路,往台北方向,25.12242044,121.4777581,北投區,北向南,70
測速,大度路,往淡水方向,25.12239283,121.4803609,北投區,南向北,70
測速,學園路(往關渡),臺北藝術大學大門口,25.13011342,121.4659106,北投區,下山方向,40
測速,立賢路101號前,,25.11441174,121.5025111,北投區,南往北,50
測速,民生東路4段,97巷口,25.05794115,121.5518524,松山區,西向東,50
測速,復興北路,車行地下道南出口處,25.06684145,121.5443102,松山區,北向南,40
測速,健康路,300號,25.05426405,121.5656356,松山區,東西雙向,50
測速,塔悠路,近撫遠街261巷口,25.06200353,121.5684999,松山區,北向南,50
測速,民權東路4段,民權公園前,25.06210619,121.5574655,松山區,東西雙向,50
測速,市民高架道,下光復南路,25.04447883,121.552151,中正區,東西雙向,80
測速,市民大道5段,50號前(近東寧路口),25.04762719,121.5639723,信義區,西向東,50
測速,忠孝東路4段 ,近逸仙路口,25.04131564,121.5598827,信義區,東西雙向,50
測速,市民大道8段,東南街口,25.05418829,121.6132704,南港區,東向西,50
測速,忠孝東路7段,511號前,25.05263792,121.6115478,南港區,西向東,50
測速,市民大道7段,近昆陽街口,25.0509968,121.5917964,南港區,東往西,50
測速,三重路,19-5號前,25.0573762,121.6140194,南港區,北向南,50
測速,市民大道7段,東新街  往東約100公尺處(忠孝東路6段159巷口),25.04997103,121.586234,南港區,西向東,50
測速,市民大道8段,500號,25.05393791,121.6123379,南港區,西往東,50
測速(兼闖紅燈),忠孝東路6段,159巷,25.0487819,121.5868439,南港區,東向西,50
測速,水源路,205號前,25.01935386,121.5029526,萬華區,東向西,60
測速,艋舺大道,297號台糖公司前,25.03301693,121.4966843,萬華區,東向西,50
測速,萬板大橋,台北端引道,25.03051254,121.4897124,萬華區,往台北市,50
測速,環河南路快速道路,中興橋匝道(環河南路2段250巷口),25.04378495,121.5004223,萬華區,北向南,60
測速,和平西路3段,199號前,25.03531226,121.4971925,萬華區,西向東,50
測速,環河南路1段,77號對面,25.04454625,121.501135,萬華區,北向南,50
測速,華中橋頭(往北、往南),萬大路,25.01908628,121.4971515,萬華區,南北雙向,50
測速,中華路1段,萬華406號廣場前,25.04001469,121.5074916,萬華區,北向南,50
測速,承德路4段,福港街,25.08986347,121.5181826,士林區,北往南,50
測速,環河北路2段,昌吉街口,25.06589275,121.5088674,大同區,南北雙向,50
測速,南京東路4段,健康路口,25.05169217,121.5530366,松山區,東西雙向,50
測速,中山南路,近濟南路1段口,25.04297255,121.5189067,中正區,北向南,50
測速,潭美街223號對面,,25.0561559,121.5856236,內湖區,東西雙向,40
測速,基隆路二段109號前往北,,25.02906139,121.5573087,信義區,南往北,50
測速,民權東路6段,228號前,25.06679101,121.5996961,內湖區,西向東,50
闖紅燈、測速,中山北路5段,中正路口,25.0961568,121.5277694,士林區,北向南,50
闖紅燈、測速,西園路2段,光復橋頭往新北市,25.02610889,121.4927469,萬華區,東西雙向,50
測速,基隆路1段49號前,,25.04768719,121.5684952,信義區,南向北,50
